,family,genus,species
140,Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus
141,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus
160,Hepadnaviridae,Orthohepadnavirus,Woodchuck hepatitis virus
166,Hepadnaviridae,Avihepadnavirus,Duck hepatitis B virus
401,Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 1
402,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 1
403,Parvoviridae,Protoparvovirus,Feline parvovirus
404,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1
412,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 1
414,Parvoviridae,Protoparvovirus,Ungulate protoparvovirus 1
416,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 1
422,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A
425,Parvoviridae,Brevidensovirus,Dipteran brevidensovirus 1
426,Parvoviridae,Iteradensovirus,Lepidopteran iteradensovirus 1
431,Geminiviridae,Begomovirus,Abutilon mosaic virus
433,Geminiviridae,Begomovirus,African cassava mosaic virus
435,Geminiviridae,Mastrevirus,Chloris striate mosaic virus
436,Geminiviridae,Mastrevirus,Maize streak virus
440,Geminiviridae,Mastrevirus,Miscanthus streak virus
441,Geminiviridae,Mastrevirus,Panicum streak virus
442,Geminiviridae,Begomovirus,Potato yellow mosaic virus
443,Geminiviridae,Begomovirus,Squash leaf curl virus
444,Geminiviridae,Mastrevirus,Tobacco yellow dwarf virus
445,Geminiviridae,Begomovirus,Tomato golden mosaic virus
446,Geminiviridae,Begomovirus,Tomato yellow leaf curl virus
447,Geminiviridae,Mastrevirus,Wheat dwarf virus
448,Geminiviridae,Begomovirus,Tomato mottle virus
449,Geminiviridae,Mastrevirus,Sugarcane streak virus
450,Geminiviridae,Mastrevirus,Digitaria streak virus
451,Geminiviridae,Begomovirus,Bean dwarf mosaic virus
452,Geminiviridae,Begomovirus,Bean golden mosaic virus
453,Geminiviridae,Curtovirus,Beet curly top virus
456,Microviridae,Microvirus,Enterobacteria phage G4
457,Microviridae,Phix174microvirus,Enterobacteria phage phiX174 sensu lato
458,Microviridae,Microvirus,Enterobacteria phage St-1
459,Microviridae,Phix174microvirus,Escherichia phage phiX174
460,Microviridae,Microvirus,Enterobacteria phage phiK
461,Microviridae,Alpha3microvirus,Escherichia virus alpha3
462,Microviridae,Microvirus,Enterobacteria phage G14
463,Microviridae,Microvirus,Enterobacteria phage U3
465,Inoviridae,Plectrovirus,Spiroplasma phage 1-R8A2B
466,Microviridae,Spiromicrovirus,Spiroplasma phage 4
468,Microviridae,Chlamydiamicrovirus,Chlamydia phage 1
472,Inoviridae,Inovirus,Enterobacteria phage M13
473,Inoviridae,Inovirus,Enterobacteria phage fd
474,Inoviridae,Inovirus,Enterobacteria phage ZJ/2
475,Inoviridae,Inovirus,Enterobacteria phage Ike
476,Inoviridae,Inovirus,Enterobacteria phage If1
477,Inoviridae,Inovirus,Enterobacteria phage I2-2
479,Inoviridae,Inovirus,Pseudomonas phage Pf1
480,Inoviridae,Inovirus,Pseudomonas phage Pf3
481,Inoviridae,Inovirus,Shigella phage SfX
483,Inoviridae,Plectrovirus,Acholeplasma phage MV-L1
486,Cystoviridae,Cystovirus,Pseudomonas phage phi6
489,Reoviridae,Orthoreovirus,Mammalian orthoreovirus
492,Reoviridae,,Reovirus sp.
494,Reoviridae,Orbivirus,Great Island virus
495,Reoviridae,Orbivirus,Tick and insect-borne orbivirus
496,Reoviridae,Orbivirus,Bluetongue virus
497,Reoviridae,Orbivirus,African horse sickness virus
504,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus
507,Reoviridae,Rotavirus,Rotavirus C
513,Reoviridae,Rotavirus,Feline rotavirus
514,Reoviridae,Rotavirus,Rotavirus A
525,Reoviridae,Rotavirus,Equine rotavirus
528,Reoviridae,Rotavirus,Rotavirus B
552,Reoviridae,Rotavirus,Rotavirus sp.
557,Reoviridae,Cypovirus,Cypovirus 5
559,Reoviridae,Phytoreovirus,Rice gall dwarf virus
560,Reoviridae,Phytoreovirus,Wound tumor virus
562,Reoviridae,Fijivirus,Maize rough dwarf virus
563,Reoviridae,Fijivirus,Rice black streaked dwarf virus
564,Reoviridae,Phytoreovirus,Rice dwarf virus
567,Birnaviridae,Avibirnavirus,Infectious bursal disease virus
574,Birnaviridae,Aquabirnavirus,Infectious pancreatic necrosis virus
580,Totiviridae,Totivirus,Saccharomyces cerevisiae virus L-A
581,Totiviridae,Totivirus,Ustilago maydis virus P4
582,Totiviridae,Totivirus,Ustilago maydis virus P6
588,Togaviridae,Alphavirus,Barmah Forest virus
589,Togaviridae,Alphavirus,Eastern equine encephalitis virus
591,Togaviridae,Alphavirus,Middelburg virus
592,Togaviridae,Alphavirus,Highlands J virus
593,Togaviridae,Alphavirus,O'nyong-nyong virus
595,Togaviridae,Alphavirus,Ross River virus
599,Togaviridae,Alphavirus,Semliki Forest virus
600,Togaviridae,Alphavirus,Sindbis virus
601,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus
604,Togaviridae,Alphavirus,Western equine encephalitis virus
606,Togaviridae,Rubivirus,Rubella virus
611,Arteriviridae,Arterivirus,Equine arteritis virus
612,Arteriviridae,Arterivirus,Lactate dehydrogenase-elevating virus
613,Arteriviridae,,Porcine reproductive and respiratory syndrome virus
617,Flaviviridae,Flavivirus,Dengue virus
632,Flaviviridae,Flavivirus,Japanese encephalitis virus
637,Flaviviridae,Flavivirus,West Nile virus
639,Flaviviridae,Flavivirus,Murray Valley encephalitis virus
640,Flaviviridae,Flavivirus,St. Louis encephalitis virus
643,Flaviviridae,Flavivirus,Powassan virus
644,Flaviviridae,Flavivirus,Tick-borne encephalitis virus
645,Flaviviridae,Flavivirus,Langat virus
646,Flaviviridae,Flavivirus,Louping ill virus
649,Flaviviridae,Flavivirus,Yellow fever virus
652,Flaviviridae,Flavivirus,Flavivirus sp.
655,Flaviviridae,Pestivirus,Classical swine fever virus
658,Flaviviridae,Pestivirus,Bovine viral diarrhea virus 1
660,Flaviviridae,Pestivirus,Border disease virus
662,Flaviviridae,Hepacivirus,Hepatitis C virus
678,Coronaviridae,Gammacoronavirus,Avian coronavirus
686,Coronaviridae,Betacoronavirus,Betacoronavirus 1
693,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1
695,Coronaviridae,Betacoronavirus,Murine coronavirus
710,Coronaviridae,Torovirus,Equine torovirus
714,Paramyxoviridae,Rubulavirus,Mumps virus
729,Paramyxoviridae,Avulavirus,Newcastle disease virus
744,Paramyxoviridae,Respirovirus,Sendai virus
751,Paramyxoviridae,Rubulavirus,Parainfluenza virus 5
758,Paramyxoviridae,Respirovirus,Bovine parainfluenza virus 3
771,Paramyxoviridae,Rubulavirus,Simian virus 41
773,Paramyxoviridae,Morbillivirus,Canine distemper virus
775,Paramyxoviridae,Morbillivirus,Measles virus
781,Paramyxoviridae,Morbillivirus,Phocine distemper virus
782,Paramyxoviridae,Morbillivirus,Rinderpest virus
787,Pneumoviridae,Orthopneumovirus,Bovine respiratory syncytial virus
803,Pneumoviridae,Orthopneumovirus,Murine pneumonia virus
804,Pneumoviridae,Metapneumovirus,Avian metapneumovirus
806,Filoviridae,Marburgvirus,Marburg marburgvirus
809,Rhabdoviridae,Vesiculovirus,Chandipura virus
811,Rhabdoviridae,Vesiculovirus,Piry virus
812,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis virus
813,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis Indiana virus
816,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus
823,Rhabdoviridae,Novirhabdovirus,Viral hemorrhagic septicemia virus
826,Rhabdoviridae,Novirhabdovirus,Infectious hematopoietic necrosis virus
828,Rhabdoviridae,Lyssavirus,Rabies lyssavirus
836,Rhabdoviridae,,Sigma virus
837,Rhabdoviridae,Ephemerovirus,Bovine ephemeral fever virus
840,Rhabdoviridae,Nucleorhabdovirus,Sonchus yellow net virus
842,Orthomyxoviridae,,unidentified influenza virus
843,Orthomyxoviridae,,Fowl plague virus
844,Orthomyxoviridae,Thogotovirus,Dhori virus
846,Orthomyxoviridae,Influenzavirus A,Influenza A virus
876,Orthomyxoviridae,Influenzavirus B,Influenza B virus
899,Orthomyxoviridae,Influenzavirus C,Influenza C virus
909,Orthomyxoviridae,Thogotovirus,Thogoto virus
912,Bunyaviridae,Orthobunyavirus,Bunyamwera orthobunyavirus
914,Bunyaviridae,Orthobunyavirus,California encephalitis orthobunyavirus
917,Bunyaviridae,Orthobunyavirus,Shuni virus
918,Bunyaviridae,Hantavirus,Hantaan hantavirus
920,Bunyaviridae,Phlebovirus,Punta Toro phlebovirus
921,Bunyaviridae,Phlebovirus,Rift Valley fever phlebovirus
923,Bunyaviridae,Phlebovirus,Sandfly fever Naples phlebovirus
924,Bunyaviridae,Phlebovirus,Uukuniemi phlebovirus
926,Bunyaviridae,Nairovirus,Crimean-Congo hemorrhagic fever nairovirus
928,Bunyaviridae,Nairovirus,Dugbe nairovirus
935,Bunyaviridae,Hantavirus,Prospect Hill Hantavirus
936,Bunyaviridae,Hantavirus,Puumala hantavirus
939,Bunyaviridae,Hantavirus,Seoul hantavirus
943,Bunyaviridae,Tospovirus,Impatiens necrotic spot tospovirus
944,Bunyaviridae,Tospovirus,Tomato spotted wilt tospovirus
948,Arenaviridae,Mammarenavirus,Junin mammarenavirus
949,Arenaviridae,Mammarenavirus,Lassa mammarenavirus
952,Arenaviridae,Mammarenavirus,Lymphocytic choriomeningitis mammarenavirus
957,Arenaviridae,Mammarenavirus,Machupo mammarenavirus
958,Arenaviridae,Mammarenavirus,Mopeia mammarenavirus
959,Arenaviridae,Mammarenavirus,Pichinde mammarenavirus
960,Arenaviridae,Mammarenavirus,Tacaribe mammarenavirus
1211,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus
1213,Caliciviridae,Vesivirus,Feline calicivirus
1217,Caliciviridae,Vesivirus,Vesicular exanthema of swine virus
1218,Caliciviridae,Norovirus,Norwalk virus
1221,Tombusviridae,Alphacarmovirus,Carnation mottle virus
1222,Tombusviridae,Gammacarmovirus,Melon necrotic spot virus
1223,Tombusviridae,Betacarmovirus,Turnip crinkle virus
1227,Leviviridae,Levivirus,Escherichia virus BZ13
1229,Leviviridae,Levivirus,Escherichia virus MS2
1236,Leviviridae,Levivirus,Pseudomonas phage PP7
1237,Leviviridae,,Pseudomonas phage PRR1
1239,Leviviridae,Allolevivirus,Escherichia virus FI
1243,Leviviridae,Allolevivirus,Escherichia virus Qbeta
1246,Luteoviridae,Luteovirus,Barley yellow dwarf virus
1247,Luteoviridae,Luteovirus,Barley yellow dwarf virus-MAV
1249,Luteoviridae,Luteovirus,Barley yellow dwarf virus-PAV
1250,Luteoviridae,Luteovirus,Bean leafroll virus
1251,Luteoviridae,Polerovirus,Beet western yellows virus
1254,Luteoviridae,Polerovirus,Potato leafroll virus
1258,Luteoviridae,Luteovirus,Soybean dwarf virus
1261,Tombusviridae,,unidentified tobacco necrosis virus
1262,Tombusviridae,Alphanecrovirus,Tobacco necrosis virus A
1263,Tombusviridae,Betanecrovirus,Tobacco necrosis virus D
1267,Picornaviridae,Enterovirus,Enterovirus B
1270,Picornaviridae,Enterovirus,Enterovirus E
1272,Picornaviridae,Enterovirus,Coxsackievirus
1275,Picornaviridae,Enterovirus,Enterovirus C
1296,Picornaviridae,Enterovirus,Enterovirus D
1298,Picornaviridae,Hepatovirus,Hepatovirus A
1307,Picornaviridae,Cardiovirus,Cardiovirus A
1312,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus
1325,Picornaviridae,Cardiovirus,Cardiovirus B
1329,Picornaviridae,Enterovirus,Rhinovirus A
1331,Picornaviridae,Enterovirus,Rhinovirus B
1335,Dicistroviridae,Cripavirus,Cricket paralysis virus
1337,Tombusviridae,Machlomovirus,Maize chlorotic mottle virus
1340,Tombusviridae,Tombusvirus,Artichoke mottled crinkle virus
1341,Tombusviridae,Tombusvirus,Cucumber necrosis virus
1342,Tombusviridae,Tombusvirus,Cymbidium ringspot virus
1343,Tombusviridae,Tombusvirus,Tomato bushy stunt virus
1347,Tymoviridae,Tymovirus,Belladonna mottle virus
1348,Tymoviridae,Tymovirus,Cacao yellow mosaic virus
1349,Tymoviridae,Tymovirus,Eggplant mosaic virus
1350,Tymoviridae,Tymovirus,Erysimum latent virus
1351,Tymoviridae,Tymovirus,Ononis yellow mosaic virus
1352,Tymoviridae,Tymovirus,Turnip yellow mosaic virus
1354,Tymoviridae,Tymovirus,Clitoria yellow vein virus
1355,Tymoviridae,Tymovirus,Kennedya yellow mosaic virus
1357,Closteroviridae,Closterovirus,Beet yellows virus
1358,Closteroviridae,Closterovirus,Citrus tristeza virus
1360,Betaflexiviridae,Carlavirus,Carnation latent virus
1361,Betaflexiviridae,Carlavirus,Chrysanthemum virus B
1362,Betaflexiviridae,Carlavirus,Poplar mosaic virus
1363,Betaflexiviridae,Carlavirus,Potato virus M
1365,Betaflexiviridae,Carlavirus,Potato virus S
1367,Betaflexiviridae,Carlavirus,Helenium virus S
1368,Betaflexiviridae,Carlavirus,Shallot latent virus
1369,Betaflexiviridae,Carlavirus,Lily symptomless virus
1371,Betaflexiviridae,Trichovirus,Apple chlorotic leaf spot virus
1373,Alphaflexiviridae,Potexvirus,Clover yellow mosaic virus
1374,Alphaflexiviridae,Potexvirus,Cymbidium mosaic virus
1375,Alphaflexiviridae,Potexvirus,Foxtail mosaic virus
1376,Alphaflexiviridae,Potexvirus,Narcissus mosaic virus
1377,Alphaflexiviridae,Potexvirus,Papaya mosaic virus
1378,Alphaflexiviridae,Potexvirus,Potato aucuba mosaic virus
1379,Alphaflexiviridae,Potexvirus,Potato virus X
1383,Alphaflexiviridae,Potexvirus,Strawberry mild yellow edge virus
1384,Alphaflexiviridae,Potexvirus,White clover mosaic virus
1387,Alphaflexiviridae,Potexvirus,Lily virus X
1389,Potyviridae,Potyvirus,Bean common mosaic virus
1390,Potyviridae,Potyvirus,Bean yellow mosaic virus
1391,Potyviridae,Potyvirus,Clover yellow vein virus
1392,Potyviridae,Potyvirus,Cowpea aphid-borne mosaic virus
1393,Potyviridae,Potyvirus,Leek yellow stripe virus
1394,Potyviridae,Potyvirus,Gloriosa stripe mosaic virus
1395,Potyviridae,Potyvirus,Lettuce mosaic virus
1396,Potyviridae,Potyvirus,Maize dwarf mosaic virus
1397,Potyviridae,Potyvirus,Ornithogalum mosaic virus
1398,Potyviridae,Potyvirus,Papaya ringspot virus
1401,Potyviridae,Potyvirus,Pea seed-borne mosaic virus
1402,Potyviridae,Potyvirus,Pepper mottle virus
1403,Potyviridae,Potyvirus,Pepper severe mosaic virus
1404,Potyviridae,Potyvirus,Plum pox virus
1408,Potyviridae,Potyvirus,Potato virus A
1409,Potyviridae,Potyvirus,Potato virus Y
1415,Potyviridae,Potyvirus,Soybean mosaic virus
1417,Potyviridae,Potyvirus,Sugarcane mosaic virus
1420,Potyviridae,Potyvirus,Tobacco etch virus
1421,Potyviridae,Potyvirus,Tobacco vein mottling virus
1422,Potyviridae,Potyvirus,Tulip breaking virus
1423,Potyviridae,Potyvirus,Turnip mosaic virus
1424,Potyviridae,Potyvirus,Zucchini yellow mosaic virus
1425,Potyviridae,Potyvirus,South African passiflora virus
1427,Virgaviridae,Tobamovirus,Cucumber green mottle mosaic virus
1430,Virgaviridae,Tobamovirus,Odontoglossum ringspot virus
1431,Virgaviridae,Tobamovirus,Pepper mild mottle virus
1432,Virgaviridae,Tobamovirus,Sunn-hemp mosaic virus
1433,Virgaviridae,Tobamovirus,Tobacco mild green mosaic virus
1434,Virgaviridae,Tobamovirus,Tobacco mosaic virus
1444,Virgaviridae,Tobamovirus,Tomato mosaic virus
1445,Benyviridae,Benyvirus,Beet necrotic yellow vein virus
1448,Secoviridae,Comovirus,Andean potato mottle virus
1449,Secoviridae,Comovirus,Bean pod mottle virus
1450,Secoviridae,Comovirus,Cowpea severe mosaic virus
1451,Secoviridae,Comovirus,Red clover mottle virus
1452,Secoviridae,Comovirus,Squash mosaic virus
1453,Secoviridae,Comovirus,Cowpea mosaic virus
1455,Tombusviridae,Dianthovirus,Red clover necrotic mosaic virus
1456,Tombusviridae,Dianthovirus,Carnation ringspot virus
1459,Secoviridae,Nepovirus,Arabis mosaic virus
1460,Secoviridae,Nepovirus,Grapevine chrome mosaic virus
1461,Secoviridae,Nepovirus,Grapevine fanleaf virus
1462,Secoviridae,Nepovirus,Tomato black ring virus
1466,Secoviridae,Nepovirus,Tomato ringspot virus
1468,Secoviridae,Nepovirus,Tobacco ringspot virus
1470,Nodaviridae,Alphanodavirus,Black beetle virus
1471,Nodaviridae,Alphanodavirus,Boolarra virus
1472,Nodaviridae,Alphanodavirus,Flock house virus
1473,Nodaviridae,Alphanodavirus,Nodamura virus
1478,Virgaviridae,Tobravirus,Pea early-browning virus
1479,Virgaviridae,Tobravirus,Tobacco rattle virus
1480,Virgaviridae,Tobravirus,Pepper ringspot virus
1485,Bromoviridae,Bromovirus,Broad bean mottle virus
1486,Bromoviridae,Bromovirus,Brome mosaic virus
1487,Bromoviridae,Bromovirus,Cowpea chlorotic mottle virus
1489,Bromoviridae,Cucumovirus,Cucumber mosaic virus
1497,Bromoviridae,Cucumovirus,Peanut stunt virus
1499,Bromoviridae,Cucumovirus,Tomato aspermy virus
1501,Bromoviridae,Ilarvirus,Tobacco streak virus
1503,Bromoviridae,Ilarvirus,Apple mosaic virus
1505,Bromoviridae,Alfamovirus,Alfalfa mosaic virus
1511,Virgaviridae,Hordeivirus,Barley stripe mosaic virus
1512,Virgaviridae,Hordeivirus,Poa semilatent virus
1521,Inoviridae,Inovirus,Xanthomonas phage Cf16
1564,Alphaflexiviridae,Allexivirus,Garlic virus D
1565,Alphaflexiviridae,Allexivirus,Garlic virus C
1566,Alphaflexiviridae,Allexivirus,Garlic virus B
1567,Alphaflexiviridae,Allexivirus,Garlic virus A
1579,Bornaviridae,,Borna disease virus
1580,Astroviridae,Mamastrovirus,Mamastrovirus 1
1582,Hepeviridae,Orthohepevirus,Orthohepevirus A
1583,Potyviridae,Bymovirus,Barley yellow mosaic virus
1584,Potyviridae,Bymovirus,Barley mild mosaic virus
1590,Nanoviridae,,Coconut foliar decay virus
1593,Hypoviridae,Hypovirus,Cryphonectria hypovirus 1
1596,Bunyaviridae,Hantavirus,Dobrava-Belgrade hantavirus
1598,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus 2
1601,Parvoviridae,Ambidensovirus,Lepidopteran ambidensovirus 1
1602,Totiviridae,Leishmaniavirus,Leishmania RNA virus 1
1603,Rhabdoviridae,Lyssavirus,Mokola lyssavirus
1604,Alphatetraviridae,Omegatetravirus,Nudaurelia capensis omega virus
1605,Flaviviridae,Flavivirus,Omsk hemorrhagic fever virus
1612,Nanoviridae,Babuvirus,Banana bunchy top virus
1613,Secoviridae,Nepovirus,Cherry leaf roll virus
1614,Circoviridae,Gyrovirus,Chicken anemia virus
1615,Tombusviridae,Gammacarmovirus,Cowpea mottle virus
1624,Bunyaviridae,Tospovirus,Groundnut ringspot tospovirus
1630,Iflaviridae,Iflavirus,Infectious flacherie virus
1633,Secoviridae,Sequivirus,Parsnip yellow fleck virus
1634,Flaviviridae,Pestivirus,Porcine pestivirus
1636,Secoviridae,Nepovirus,Raspberry ringspot virus
1637,Reoviridae,,Reovirus S4
1638,Pneumoviridae,Pneumovirus,Respiratory syncytial virus
1640,Potyviridae,Potyvirus,Sweet potato feathery mottle virus
1641,Orthomyxoviridae,,Swine influenza virus
1642,Bunyaviridae,Tospovirus,Tomato chlorotic spot tospovirus
1648,Paramyxoviridae,Avulavirus,Avian paramyxovirus 4
1659,Bunyaviridae,Hantavirus,Thailand hantavirus
1660,Bunyaviridae,Phlebovirus,Sandfly fever Sicilian virus
1661,Coronaviridae,,Enteric coronavirus
1662,Coronaviridae,Alphacoronavirus,Porcine epidemic diarrhea virus
1663,Flaviviridae,Flavivirus,Flavivirus FSME
1664,Hepadnaviridae,Avihepadnavirus,Heron hepatitis B virus
1666,Leviviridae,,Bdellovibrio bacteriovirus
1674,Reoviridae,Rotavirus,Murine rotavirus
1678,Betaflexiviridae,Capillovirus,Apple stem grooving virus
1679,Tombusviridae,Dianthovirus,Sweet clover necrotic mosaic virus
1680,Geminiviridae,Begomovirus,Tomato leaf curl virus
1681,Secoviridae,,Strawberry latent ringspot virus
1684,Alphaflexiviridae,Potexvirus,Plantago asiatica mosaic virus
1685,Virgaviridae,Pecluvirus,Peanut clump virus
1688,Inoviridae,Inovirus,Xanthomonas phage Lf
1691,Chrysoviridae,Chrysovirus,Agaricus bisporus virus 1
1692,Virgaviridae,Furovirus,Soil-borne wheat mosaic virus
1693,Pneumoviridae,Pneumovirus,Ovine respiratory syncytial virus
1700,Totiviridae,Totivirus,Ustilago maydis virus H1
1704,Totiviridae,Giardiavirus,Giardia lamblia virus
1705,Totiviridae,,Trichomonas vaginalis virus
1706,Partitiviridae,Deltapartitivirus,Beet cryptic virus 3
1713,Potyviridae,Potyvirus,Dasheen mosaic virus
1714,Virgaviridae,Tobamovirus,Turnip vein-clearing virus
1781,Reoviridae,Cypovirus,Cypovirus 8
1783,Inoviridae,Inovirus,Xanthomonas phage Cf1t
1784,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 2
1786,Geminiviridae,Begomovirus,Indian cassava mosaic virus
1787,Geminiviridae,Begomovirus,Bean calico mosaic virus
1788,Geminiviridae,Begomovirus,Pepper geminivirus
1789,Paramyxoviridae,Morbillivirus,Peste-des-petits-ruminants virus
1797,Rhabdoviridae,Ephemerovirus,Adelaide River virus
1803,Bunyaviridae,Hantavirus,Hantavirus A9
1806,Bunyaviridae,Hantavirus,Sin Nombre hantavirus
1840,Flaviviridae,Pestivirus,Pestivirus sp.
1841,Flaviviridae,Flavivirus,Cell fusing agent virus
1869,Picornaviridae,Enterovirus,Enterovirus A
1876,Tombusviridae,Betacarmovirus,Cardamine chlorotic fleck virus
1878,Closteroviridae,Crinivirus,Lettuce infectious yellows virus
1885,Betaflexiviridae,Carlavirus,Blueberry scorch virus
1894,Potyviridae,Potyvirus,Passion fruit woodiness virus
1902,Potyviridae,Tritimovirus,Wheat streak mosaic virus
1903,Potyviridae,Potyvirus,Johnsongrass mosaic virus
1904,Potyviridae,Potyvirus,Sweet potato latent virus
1910,Virgaviridae,Tobamovirus,Obuda pepper virus
1926,Alphaflexiviridae,Allexivirus,Shallot virus X
1937,Geminiviridae,Begomovirus,Tomato geminivirus
1938,Paramyxoviridae,,Murayama virus
1939,Rhabdoviridae,Cytorhabdovirus,Lettuce necrotic yellows virus
1945,Closteroviridae,Crinivirus,Beet pseudoyellows virus
1946,Potyviridae,Potyvirus,Sorghum mosaic virus
1947,Potyviridae,Potyvirus,Iris severe mosaic virus
1948,Potyviridae,Potyvirus,Tulip top breaking virus
1949,Potyviridae,Potyvirus,Tulip band breaking virus
1950,Potyviridae,Potyvirus,Rembrandt tulip-breaking virus
1951,Potyviridae,Potyvirus,Lily mottle virus
1952,Barnaviridae,Barnavirus,Mushroom bacilliform virus
1953,Totiviridae,,Ustilago maydis dsRNA virus
1954,Virgaviridae,Pecluvirus,Indian peanut clump virus
1955,Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus/woodchuck hepatitis virus recombinant
1974,Reoviridae,Fijivirus,Nilaparvata lugens reovirus
1976,Geminiviridae,Begomovirus,Mungbean yellow mosaic virus
1991,Flaviviridae,Flavivirus,Kyasanur forest disease virus
2000,Caliciviridae,Sapovirus,Sapporo virus
2002,Caliciviridae,Lagovirus,European brown hare syndrome virus
2004,Picornaviridae,Enterovirus,Echovirus
2006,Bromoviridae,Ilarvirus,Prune dwarf virus
2007,Luteoviridae,,Groundnut rosette assistor virus
2009,Potyviridae,Potyvirus,Peanut mottle virus
2010,Potyviridae,Potyvirus,Shallot potyvirus
2011,Potyviridae,Potyvirus,Tobacco vein banding mosaic virus
2016,Bromoviridae,Oleavirus,Olive latent virus 2
2051,Flaviviridae,Flavivirus,Meaban virus
2052,Tombusviridae,Tombusvirus,Pelargonium leaf curl virus
2053,Virgaviridae,Tobamovirus,Paprika mild mottle virus
2055,Potyviridae,Potyvirus,Tulip mosaic virus
2056,Potyviridae,Bymovirus,Wheat spindle streak mosaic virus
2057,Alphaflexiviridae,Potexvirus,Bamboo mosaic virus
2058,Secoviridae,Waikavirus,Rice tungro spherical virus
2059,Betaflexiviridae,Vitivirus,Grapevine virus A
2060,Betaflexiviridae,Vitivirus,Grapevine virus B
2061,Closteroviridae,Closterovirus,Beet yellow stunt virus
2062,Tombusviridae,Alphacarmovirus,Pelargonium flower break virus
2068,Nodaviridae,Betanodavirus,Striped Jack nervous necrosis virus
2071,Paramyxoviridae,Avulavirus,Avian paramyxovirus 2
2075,Bunyaviridae,Orthobunyavirus,Simbu virus
2076,Bunyaviridae,Orthobunyavirus,Anopheles A orthobunyavirus
2077,Bunyaviridae,Orthobunyavirus,Anopheles B orthobunyavirus
2078,Bunyaviridae,Orthobunyavirus,Bakau orthobunyavirus
2079,Bunyaviridae,Orthobunyavirus,Bwamba virus
2080,Bunyaviridae,Orthobunyavirus,Capim orthobunyavirus
2081,Bunyaviridae,Orthobunyavirus,Gamboa orthobunyavirus
2082,Bunyaviridae,Orthobunyavirus,Koongol orthobunyavirus
2083,Bunyaviridae,Orthobunyavirus,Nyando orthobunyavirus
2084,Bunyaviridae,Orthobunyavirus,Tete virus
2085,Bunyaviridae,Orthobunyavirus,Turlock virus
2086,Bunyaviridae,Hantavirus,El Moro Canyon hantavirus
2104,Geminiviridae,Begomovirus,Watermelon chlorotic stunt virus
2110,Betaflexiviridae,Foveavirus,Apple stem pitting virus
2175,Betaflexiviridae,Tepovirus,Potato virus T
2181,Paramyxoviridae,Morbillivirus,Cetacean morbillivirus
2188,Orthomyxoviridae,,Duck influenza virus
2212,Nanoviridae,Nanovirus,Subterranean clover stunt virus
2227,Togaviridae,Alphavirus,Chikungunya virus
2228,Bromoviridae,Ilarvirus,Lilac ring mottle virus
2229,Bromoviridae,Ilarvirus,Citrus leaf rugose virus
2230,Bromoviridae,Ilarvirus,Citrus variegation virus
2231,Virgaviridae,Pomovirus,Potato mop-top virus
2236,Bunyaviridae,Hantavirus,Tula hantavirus
2243,Alphatetraviridae,Omegatetravirus,Helicoverpa armigera stunt virus
2244,Bunyaviridae,Hantavirus,Rio Segundo hantavirus
2246,Bunyaviridae,Nairovirus,Sakhalin nairovirus
2250,Reoviridae,Orthoreovirus,Avian orthoreovirus
2252,Parvoviridae,Dependoparvovirus,Anseriform dependoparvovirus 1
2256,Reoviridae,Idnoreovirus,Idnoreovirus 1
2257,Bunyaviridae,Hantavirus,Prairie vole hantavirus
2264,Bromoviridae,Ilarvirus,Prunus necrotic ringspot virus
2265,Bunyaviridae,Hantavirus,Hantavirus sp.
2284,Partitiviridae,Betapartitivirus,Atkinsonella hypoxylon virus
2285,Bunyaviridae,Hantavirus,Bayou hantavirus
2287,Bunyaviridae,Hantavirus,Hantavirus HTN
2292,Rhabdoviridae,Novirhabdovirus,Hirame rhabdovirus
2293,Arteriviridae,Arterivirus,Simian hemorrhagic fever virus
2297,Secoviridae,Nepovirus,Blueberry leaf mottle virus
2301,Closteroviridae,Ampelovirus,Grapevine leafroll-associated virus
2313,Rhabdoviridae,Lyssavirus,Lagos bat lyssavirus
2314,Rhabdoviridae,Lyssavirus,Duvenhage lyssavirus
2315,Rhabdoviridae,Lyssavirus,European bat lyssavirus
2318,Flaviviridae,Flavivirus,Banzi virus
2351,Alphaflexiviridae,Potexvirus,Cassava common mosaic virus
2360,Flaviviridae,Hepacivirus,Hepatitis GB virus B
